Club Name,Address,City,State,Zip Code,Zone,Splashball
Team Santa Monica,,, California,,Coastal California Zone,TRUE
Team Vegas Water Polo,7437 S. Eastern Ave #282, Las Vegas, Nevada,89123,Mountain Zone,TRUE
Temple City Aquatics Club,1124 E Chestnut St. #44, Glendale, California,91205,Coastal California Zone,TRUE
Texas Mavericks Water Polo Club,2130 Greenstone Trail, Carrollton,Texas,75010,Southwest Zone,TRUE
The Olympic Club,524 Post St., San Francisco, California,94121,Pacific Zone,FALSE
The Treasure Coast Water Polo Club,8611 SE Wilkes Place, Hobe Sound, Florida,33455,Southeast Zone,FALSE
The Woodlands Masters Water Polo Club,3383 S Panther Creek, The Woodlands, Texas,77381,Southwest Zone,FALSE
Third Coast Aquatics,"15041 Sandstone Rd, Third Coast Aquatics", Grand Haven, Michigan,49417,Midwest Zone,FALSE
TMEC Water Polo,,,,,Southern Pacific Zone,FALSE
Tooele Water Polo,55 North 200 West, Tooele, Utah,84074,Mountain Zone,FALSE
TOPAZ Water Polo Club,"9393 E Palo Brea Bend, Unit 1040", Scottsdale, Arizona,85255,Mountain Zone,TRUE
TPCM SHARKS WPC,"Redwood High School, 395 Doherty Dr.", Larkspur, California,94939,Pacific Zone,TRUE
Treasure Valley Water Polo,5812 N Brooklet Place, Boise, Idaho,83713,Pacific Northwest & Hawaii Zone,FALSE
Tri-Valley Triton Aquatics,"Las Positas College, 3000 Campus Drive", Livermore, California,94551,Pacific Zone,TRUE
Tri-Valley Water Polo Club,1155 Santa Rita Rd, Pleasanton, California, 94566-6176,Pacific Zone,FALSE
Triangle Water Polo,3221 Falls River Ave, Raleigh, North Carolina,27614,Southeast Zone,FALSE
